concept,varname,value_txt,n_rows,target_value,confirmed,harmonized_name,priority,reviewer,comment
FRAILTY_EXHAUST,Feels_Exausted_Value,0,11178,N,YES,h_frailty_exhaust,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_EXHAUST,Feels_Exausted_Value,1,3003,Y,YES,h_frailty_exhaust,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_EXHAUST,Feels_Exausted,NO,3849,N,YES,h_frailty_exhaust,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_EXHAUST,Feels_Exausted,YES,1003,Y,YES,h_frailty_exhaust,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_ACTIVITY,Low_Physical_Activity_Value,0,9841,N,YES,h_frailty_activity,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_ACTIVITY,Low_Physical_Activity_Value,1,4184,Y,YES,h_frailty_activity,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_ACTIVITY,Low_Physical_Activity,NO,3389,N,YES,h_frailty_activity,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_ACTIVITY,Low_Physical_Activity,YES,1394,Y,YES,h_frailty_activity,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WALKING,Slow_Walking_Speed_Value,0,10069,N,YES,h_frailty_walking,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WALKING,Slow_Walking_Speed_Value,1,3920,Y,YES,h_frailty_walking,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WALKING,Slow_Walking_Speed,NO,3441,N,YES,h_frailty_walking,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WALKING,Slow_Walking_Speed,YES,1330,Y,YES,h_frailty_walking,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WEIGHT,Unintended_Weight_Loss_Value,0,12786,N,YES,h_frailty_weight,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WEIGHT,Unintended_Weight_Loss_Value,1,1370,Y,YES,h_frailty_weight,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WEIGHT,Unintended_Weight_Loss,NO,4350,N,YES,h_frailty_weight,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_WEIGHT,Unintended_Weight_Loss,YES,499,Y,YES,h_frailty_weight,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
