sheet,dict_name,dict_type,description,source,note,sas_name
MASTER_DATASET,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
MASTER_DATASET,ENCRYPTED_MRN,Foreign Key,Encrypted hospital medical record number (MRN),,,ENCRYPTED_MRN
MASTER_DATASET,ENCRYPTED_ENCOUNTER,Foreign Key,Encrypted hospital encounter number (CSN),,,ENCRYPTED_ENCOUNTER
MASTER_DATASET,rt_ANCHOR_to_ADMIT_days,num,"the relative admission date, which is the number of days elapsed since the anchor date, a undisclosed date in 2011",Clinical Encounters -> Admit DateTime,,rt_ANCHOR_to_ADMIT_days
MASTER_DATASET,rt_ANCHOR_to_SURGERY_days,num,"the relative surgical case date, which is the number of days elapsed since the anchor date, a undisclosed date in 2011",Clinical Encounters -> Case Date,,rt_ANCHOR_to_SURGERY_days
MASTER_DATASET,rt_ANCHOR_to_DISCHG_days,num,"the relative discharge date, which is the number of days elapsed since the anchor date, a undisclosed date in 2011",Clinical Encounters -> Dischg DateTime,,rt_ANCHOR_to_DISCHG_days
MASTER_DATASET,rt_ADMIT_to_AN_START_mins,num,"the relative time of OR anesthesia start, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Anesthesia Start Datetime,,rt_ADMIT_to_AN_START_mins
MASTER_DATASET,rt_ADMIT_to_AN_END_mins,num,"the relative time of OR anesthesia end, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Anesthesia Stop Datetime,,rt_ADMIT_to_AN_END_mins
MASTER_DATASET,rt_ADMIT_to_BLOCK_START_mins,num,"the relative time of Block start, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Anes Block Start Datetime,,rt_ADMIT_to_BLOCK_START_mins
MASTER_DATASET,rt_ADMIT_to_BLOCK_END_mins,num,"the relative time of Block end, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Anes Block End Datetime,,rt_ADMIT_to_BLOCK_END_mins
MASTER_DATASET,rt_ADMIT_to_RM_START_mins,num,"the relative time of OR room start, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Room Start Datetime,,rt_ADMIT_to_RM_START_mins
MASTER_DATASET,rt_ADMIT_to_RM_END_mins,num,"the relative time of OR room end, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Room End Datetime,,rt_ADMIT_to_RM_END_mins
MASTER_DATASET,rt_ADMIT_to_INCISION_mins,num,"the relative time of surgery start, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Incision Datetime,,rt_ADMIT_to_INCISION_mins
MASTER_DATASET,rt_ADMIT_to_DRESS_mins,num,"the relative time of surgery end, which is the length of time in minutes elapsed since admission",Clinical Encounters -> Dressing Datetime,,rt_ADMIT_to_DRESS_mins
MASTER_DATASET,rt_INCISE_to_DRESS_mins,num,"the relative time of surgery end, which is the length of time in minutes elapsed since incision","Clinical Encounters -> Incision Datetime, Clinical Encounters -> Dressing Datetime",,rt_INCISE_to_DRESS_mins
MASTER_DATASET,rt_RM_START_to_RM_END_mins,num,the relative time of OR room start to OR room end time in minutes,"Clinical Encounters -> Room Start Datetime, Clinical Encounters -> Room End Datetime",,rt_RM_START_to_RM_END_mins
MASTER_DATASET,rt_AN_START_to_AN_END_mins,num,the relative time of anesthesia start to anesthesia stop time in minutes,"Clinical Encounters -> Anesthesia Start Datetime, Clinical Encounters -> Anesthesia Stop Datetime",,rt_AN_START_to_AN_END_mins
MASTER_DATASET,rt_BLOCK_START_TO_BLOCK_END_mins,num,the relative time of block start to block end time in minutes,Clinical Encounters -> Dressing Datetime,,rt_BLOCK_START_TO_BLOCK_END_mins
MASTER_DATASET,Day of Week (CHAR),num,"the day of the week (e.g., Sun, Mon, ..., Sat)",Clinical Encounters -> Day of Week (CHAR),,Day_of_Week__CHAR
MASTER_DATASET,Holidays,num,US holiday indicators,Clinical Encounters -> Holidays,,Holidays
MASTER_DATASET,Weekend_Indicator,char(1),weekend indicator ('Y' is weekend; 'N' is weekdays),derived,,Weekend_Indicator
MASTER_DATASET,Age at Encounter,num,Patient age at admission (changed to 90 if age is 90 or above),Clinical Encounters -> Age at Encounter,,Age_at_Encounter
MASTER_DATASET,EmployeeStatus,char(25),Patient employement subject status,,,EmployeeStatus
MASTER_DATASET,Education,char(),Highest level of education (last record before surgery),EPICFLO -> (FLO_MEAS_ID= 3049800025 ),matched thru MRN,Education
MASTER_DATASET,Race,char(15),Patient race,Clinical Encounters -> Race,,Race
MASTER_DATASET,Ethnicity,char(15),Patient ethnicity,Clinicl Encounters -> Ethnicity,,Ethnicity
